pedido_id,data_pedido,cliente_id,produto_id,quantidade,preco_unitario,valor_total,canal_venda,vendedor,estado_entrega
PV001195,2024-01-05,C0176,P014,179,3.82,683.78,Representante Comercial,Carlos Silva,PE
PV006696,2024-01-05,C0137,P008,162,10.29,1666.98,E-commerce B2B,Bruno Lima,MT
PV003201,2024-01-05,C0157,P014,65,3.77,245.05,Televendas,Eduarda Melo,CE
PV006991,2024-01-05,C0101,P015,118,5.91,697.38,Representante Comercial,Bruno Lima,AM
PV002295,2024-01-06,C0036,P004,170,7.95,1351.5,Televendas,Eduarda Melo,AM
PV006966,2024-01-06,C0176,P002,83,8.9,738.7,Televendas,Felipe Santos,PE
PV004045,2024-01-06,C0048,P002,25,9.27,231.75,E-commerce B2B,Bruno Lima,ES
PV000421,2024-01-06,C0029,P014,110,3.84,422.4,Key Account,Ana Souza,PE
PV004314,2024-01-06,C0131,P005,46,4.16,191.36,Representante Comercial,Bruno Lima,SC
PV001286,2024-01-06,C0113,P016,81,6.74,545.94,Representante Comercial,Bruno Lima,PE
PV004546,2024-01-06,C0018,P020,9,4.16,37.44,E-commerce B2B,Eduarda Melo,RJ
PV006870,2024-01-06,C0164,P014,98,3.64,356.72,E-commerce B2B,Eduarda Melo,ES
PV003374,2024-01-07,C0006,P010,44,5.25,231.0,Televendas,Daniela Rocha,PE
PV000056,2024-01-07,C0010,P019,89,3.97,353.33,Televendas,Felipe Santos,MT
PV000324,2024-01-07,C0011,P016,36,6.43,231.48,Key Account,Felipe Santos,MG
PV001008,2024-01-07,C0062,P020,127,4.06,515.62,Televendas,Eduarda Melo,AL
PV003280,2024-01-07,C0019,P011,117,16.49,1929.33,Representante Comercial,Bruno Lima,BA
PV006039,2024-01-07,C0166,P004,21,7.86,165.06,Televendas,Daniela Rocha,MG
PV002608,2024-01-07,C0155,P002,117,9.12,1067.04,Televendas,Carlos Silva,ES
PV003255,2024-01-07,C0098,P012,55,14.05,772.75,E-commerce B2B,Eduarda Melo,PA
PV002138,2024-01-08,C0041,P001,161,23.55,3791.55,E-commerce B2B,Daniela Rocha,AM
PV006895,2024-01-08,C0157,P006,133,4.36,579.88,E-commerce B2B,Felipe Santos,CE
PV001852,2024-01-08,C0142,P018,42,2.97,124.74,Representante Comercial,Eduarda Melo,PA
PV002019,2024-01-08,C0099,P001,137,21.75,2979.75,Televendas,Bruno Lima,SC
PV006128,2024-01-08,C0056,P020,98,4.23,414.54,Key Account,Eduarda Melo,MG
PV006150,2024-01-08,C0100,P004,17,7.83,133.11,Televendas,Carlos Silva,SP
PV005513,2024-01-08,C0005,P010,176,5.13,902.88,Televendas,Ana Souza,PE
PV000910,2024-01-08,C0101,P015,113,5.3,598.9,Televendas,Eduarda Melo,AM
PV002388,2024-01-08,C0048,P020,146,4.3,627.8,Televendas,Ana Souza,ES
PV006488,2024-01-08,C0054,P010,114,5.37,612.18,Key Account,Ana Souza,DF
PV000052,2024-01-08,C0067,P019,110,3.88,426.8,Representante Comercial,Carlos Silva,AM
PV002118,2024-01-08,C0033,P014,89,3.74,332.86,E-commerce B2B,Eduarda Melo,CE
PV001827,2024-01-09,C0031,P020,103,4.12,424.36,Key Account,Carlos Silva,BA
PV006360,2024-01-09,C0096,P011,15,16.32,244.8,Representante Comercial,Felipe Santos,SP
PV000290,2024-01-09,C0142,P011,16,16.41,262.56,Key Account,Carlos Silva,PA
PV005456,2024-01-09,C0165,P011,131,17.1,2240.1,Key Account,Ana Souza,DF
PV005732,2024-01-09,C0142,P001,177,22.11,3913.47,Televendas,Bruno Lima,PA
PV004184,2024-01-09,C0026,P014,102,3.74,381.48,Key Account,Bruno Lima,MT
PV000246,2024-01-09,C0134,P020,39,4.33,168.87,Key Account,Felipe Santos,MG
PV003317,2024-01-09,C0117,P008,94,9.49,892.06,E-commerce B2B,Ana Souza,SP
PV002400,2024-01-09,C0085,P020,104,4.3,447.2,Key Account,Felipe Santos,AM
PV006333,2024-01-09,C0099,P011,55,16.75,921.25,E-commerce B2B,Eduarda Melo,SC
PV005629,2024-01-09,C0031,P014,48,3.72,178.56,Key Account,Daniela Rocha,BA
PV003176,2024-01-10,C0086,P014,150,3.64,546.0,Televendas,Ana Souza,AL
PV002223,2024-01-10,C0043,P016,131,7.17,939.27,Representante Comercial,Ana Souza,SC
PV000474,2024-01-10,C0052,P008,151,10.27,1550.77,E-commerce B2B,Bruno Lima,BA
PV001073,2024-01-10,C0007,P002,94,8.56,804.64,E-commerce B2B,Bruno Lima,DF
PV005764,2024-01-10,C0146,P020,32,4.11,131.52,E-commerce B2B,Ana Souza,RJ
PV004504,2024-01-10,C0040,P014,49,3.74,183.26,Key Account,Ana Souza,MG
PV004924,2024-01-10,C0163,P002,67,8.44,565.48,Key Account,Daniela Rocha,AM
PV004941,2024-01-10,C0121,P014,125,3.89,486.25,Televendas,Daniela Rocha,PR
PV003388,2024-01-11,C0180,P005,6,3.97,23.82,E-commerce B2B,Bruno Lima,PE
PV002671,2024-01-11,C0158,P002,150,8.88,1332.0,Representante Comercial,Carlos Silva,PE
PV003947,2024-01-11,C0179,P014,123,3.81,468.63,E-commerce B2B,Daniela Rocha,GO
PV004962,2024-01-11,C0046,P014,142,3.74,531.08,Televendas,Bruno Lima,AM
PV000569,2024-01-11,C0087,P015,20,5.43,108.6,E-commerce B2B,Eduarda Melo,PA
PV001476,2024-01-11,C0099,P006,22,4.49,98.78,Televendas,Eduarda Melo,SC
PV000814,2024-01-11,C0094,P014,125,3.95,493.75,E-commerce B2B,Bruno Lima,RS
PV005257,2024-01-11,C0088,P011,25,17.22,430.5,Televendas,Felipe Santos,MG
PV003032,2024-01-11,C0129,P018,90,2.9,261.0,E-commerce B2B,Bruno Lima,MT
PV003489,2024-01-11,C0016,P017,157,3.34,524.38,Representante Comercial,Bruno Lima,PA
PV005091,2024-01-11,C0160,P002,73,8.58,626.34,Representante Comercial,Eduarda Melo,ES
PV002462,2024-01-11,C0058,P016,38,7.14,271.32,Representante Comercial,Carlos Silva,PE
PV002405,2024-01-11,C0156,P002,169,8.94,1510.86,Representante Comercial,Felipe Santos,RS
PV001082,2024-01-11,C0172,P017,172,3.34,574.48,Key Account,Bruno Lima,MG
PV002884,2024-01-11,C0132,P008,93,9.91,921.63,E-commerce B2B,Ana Souza,SC
PV000477,2024-01-12,C0030,P019,28,3.8,106.4,Televendas,Eduarda Melo,SP
PV002851,2024-01-12,C0011,P020,66,4.02,265.32,E-commerce B2B,Ana Souza,MG
PV006857,2024-01-12,C0085,P014,91,3.9,354.9,Representante Comercial,Bruno Lima,AM
PV000460,2024-01-12,C0062,P004,58,8.79,509.82,Representante Comercial,Bruno Lima,AL
PV003369,2024-01-12,C0124,P010,24,5.05,121.2,Key Account,Daniela Rocha,DF
PV003173,2024-01-12,C0172,P015,92,5.8,533.6,Key Account,Eduarda Melo,MG
PV000579,2024-01-12,C0068,P001,52,21.71,1128.92,Televendas,Daniela Rocha,CE
PV003015,2024-01-12,C0002,P004,162,8.36,1354.32,Key Account,Bruno Lima,RS
PV002201,2024-01-12,C0077,P016,96,6.99,671.04,Key Account,Ana Souza,PE
PV004632,2024-01-12,C0180,P012,70,14.86,1040.2,Televendas,Carlos Silva,PE
PV001970,2024-01-12,C0178,P012,82,14.63,1199.66,Televendas,Carlos Silva,BA
PV000705,2024-01-12,C0050,P011,67,16.89,1131.63,E-commerce B2B,Ana Souza,SC
PV005187,2024-01-12,C0022,P008,148,9.76,1444.48,Representante Comercial,Felipe Santos,AL
PV003624,2024-01-12,C0179,P001,109,22.96,2502.64,E-commerce B2B,Daniela Rocha,GO
PV005608,2024-01-13,C0038,P005,25,4.13,103.25,Televendas,Ana Souza,MT
PV000351,2024-01-13,C0169,P013,35,4.83,169.05,Representante Comercial,Eduarda Melo,AL
PV006671,2024-01-13,C0062,P011,169,17.29,2922.01,E-commerce B2B,Eduarda Melo,AL
PV003267,2024-01-13,C0087,P018,123,2.75,338.25,Key Account,Bruno Lima,PA
PV003757,2024-01-13,C0011,P011,130,16.71,2172.3,Televendas,Felipe Santos,MG
PV001089,2024-01-13,C0043,P017,51,3.21,163.71,Representante Comercial,Ana Souza,SC
PV004611,2024-01-13,C0022,P001,85,22.24,1890.4,Representante Comercial,Eduarda Melo,AL
PV000934,2024-01-13,C0042,P002,14,9.23,129.22,Key Account,Carlos Silva,RS
PV001916,2024-01-13,C0031,P004,47,8.53,400.91,Representante Comercial,Ana Souza,BA
PV003848,2024-01-14,C0106,P014,90,3.98,358.2,Representante Comercial,Carlos Silva,PA
PV005846,2024-01-14,C0018,P020,170,4.03,685.1,Key Account,Ana Souza,RJ
PV005569,2024-01-14,C0142,P019,73,4.02,293.46,E-commerce B2B,Carlos Silva,PA
PV005393,2024-01-14,C0137,P015,7,5.44,38.08,Representante Comercial,Bruno Lima,MT
PV002523,2024-01-14,C0180,P015,141,5.62,792.42,Key Account,Bruno Lima,PE
PV003326,2024-01-14,C0116,P002,30,8.89,266.7,Key Account,Eduarda Melo,GO
PV001322,2024-01-14,C0145,P009,94,5.08,477.52,Representante Comercial,Eduarda Melo,PA
PV006283,2024-01-14,C0008,P020,56,4.32,241.92,Key Account,Ana Souza,PE
PV000677,2024-01-14,C0022,P013,26,4.74,123.24,Key Account,Carlos Silva,AL
PV001435,2024-01-14,C0164,P005,134,4.0,536.0,E-commerce B2B,Eduarda Melo,ES
PV005419,2024-01-14,C0039,P011,133,17.73,2358.09,Televendas,Carlos Silva,PA
PV001794,2024-01-15,C0080,P018,62,3.06,189.72,Key Account,Carlos Silva,GO
PV002869,2024-01-15,C0079,P009,134,4.98,667.32,E-commerce B2B,Bruno Lima,RJ
PV002846,2024-01-15,C0083,P006,14,4.51,63.14,Televendas,Felipe Santos,MG
PV002977,2024-01-15,C0051,P010,124,4.93,611.32,E-commerce B2B,Daniela Rocha,SC
PV003568,2024-01-15,C0057,P018,162,2.82,456.84,E-commerce B2B,Bruno Lima,GO
PV001655,2024-01-15,C0100,P010,176,5.22,918.72,Representante Comercial,Eduarda Melo,SP
PV003117,2024-01-15,C0077,P005,116,4.06,470.96,Key Account,Ana Souza,PE
PV002815,2024-01-15,C0163,P011,134,15.98,2141.32,Representante Comercial,Carlos Silva,AM
PV002963,2024-01-15,C0167,P016,110,6.85,753.5,Key Account,Bruno Lima,CE
PV006141,2024-01-16,C0042,P005,131,4.41,577.71,E-commerce B2B,Felipe Santos,RS
PV005498,2024-01-16,C0161,P011,52,17.88,929.76,Key Account,Felipe Santos,AL
PV004913,2024-01-16,C0064,P014,69,4.02,277.38,E-commerce B2B,Ana Souza,ES
PV003211,2024-01-16,C0090,P014,127,4.0,508.0,E-commerce B2B,Carlos Silva,MG
PV003041,2024-01-16,C0097,P007,91,7.3,664.3,Representante Comercial,Bruno Lima,SP
PV005311,2024-01-16,C0031,P003,176,8.37,1473.12,Key Account,Bruno Lima,BA
PV001066,2024-01-16,C0178,P006,119,4.58,545.02,Representante Comercial,Daniela Rocha,BA
PV001010,2024-01-17,C0070,P012,11,15.15,166.65,Key Account,Eduarda Melo,BA
PV004454,2024-01-17,C0056,P010,142,4.98,707.16,Key Account,Felipe Santos,MG
PV003214,2024-01-17,C0040,P018,42,2.85,119.7,E-commerce B2B,Bruno Lima,MG
PV003620,2024-01-17,C0035,P009,115,4.88,561.2,Televendas,Felipe Santos,CE
PV005320,2024-01-17,C0026,P002,43,9.22,396.46,Representante Comercial,Carlos Silva,MT
PV001975,2024-01-17,C0158,P002,143,9.04,1292.72,E-commerce B2B,Daniela Rocha,PE
PV002298,2024-01-17,C0137,P020,43,4.14,178.02,E-commerce B2B,Daniela Rocha,MT
PV006626,2024-01-17,C0086,P015,125,5.66,707.5,E-commerce B2B,Daniela Rocha,AL
PV004697,2024-01-18,C0022,P020,117,4.22,493.74,Key Account,Eduarda Melo,AL
PV005337,2024-01-18,C0008,P015,166,5.4,896.4,E-commerce B2B,Daniela Rocha,PE
PV006932,2024-01-18,C0099,P011,58,17.51,1015.58,Representante Comercial,Daniela Rocha,SC
PV000578,2024-01-18,C0027,P013,25,4.99,124.75,E-commerce B2B,Daniela Rocha,DF
PV004492,2024-01-18,C0031,P015,78,5.47,426.66,Key Account,Ana Souza,BA
PV004064,2024-01-18,C0018,P002,168,8.62,1448.16,Televendas,Ana Souza,RJ
PV005047,2024-01-18,C0113,P002,117,8.72,1020.24,Televendas,Felipe Santos,PE
PV000192,2024-01-18,C0023,P010,170,5.03,855.1,E-commerce B2B,Daniela Rocha,DF
PV003906,2024-01-18,C0163,P016,48,7.09,340.32,Key Account,Carlos Silva,AM
PV004888,2024-01-18,C0022,P017,135,3.22,434.7,E-commerce B2B,Carlos Silva,AL
PV003455,2024-01-18,C0129,P014,8,3.72,29.76,E-commerce B2B,Bruno Lima,MT
PV002218,2024-01-18,C0136,P009,72,4.97,357.84,Representante Comercial,Carlos Silva,GO
PV001264,2024-01-19,C0062,P020,30,4.16,124.8,Televendas,Ana Souza,AL
PV002331,2024-01-19,C0040,P014,27,3.63,98.01,E-commerce B2B,Carlos Silva,MG
PV005705,2024-01-19,C0035,P016,150,6.7,1005.0,E-commerce B2B,Bruno Lima,CE
PV000337,2024-01-19,C0090,P002,111,8.56,950.16,Televendas,Felipe Santos,MG
PV004777,2024-01-19,C0008,P016,86,7.04,605.44,E-commerce B2B,Eduarda Melo,PE
PV005008,2024-01-19,C0075,P002,135,8.52,1150.2,Representante Comercial,Daniela Rocha,MT
PV003018,2024-01-19,C0048,P009,11,4.78,52.58,E-commerce B2B,Daniela Rocha,ES
PV005417,2024-01-19,C0072,P015,139,5.55,771.45,Representante Comercial,Felipe Santos,BA
PV006749,2024-01-19,C0103,P001,101,22.66,2288.66,E-commerce B2B,Bruno Lima,PA
PV001961,2024-01-19,C0139,P006,80,4.42,353.6,E-commerce B2B,Eduarda Melo,MT
PV005559,2024-01-19,C0099,P008,34,9.44,320.96,Key Account,Felipe Santos,SC
PV003706,2024-01-19,C0166,P015,152,5.61,852.72,Televendas,Ana Souza,MG
PV003818,2024-01-19,C0140,P018,89,2.91,258.99,E-commerce B2B,Bruno Lima,GO
PV007163,2024-01-20,C0062,P014,76,3.62,275.12,Key Account,Felipe Santos,AL
PV003862,2024-01-20,C0024,P012,19,13.83,262.77,Representante Comercial,Ana Souza,MT
PV000468,2024-01-20,C0031,P002,15,9.04,135.6,E-commerce B2B,Ana Souza,BA
PV001993,2024-01-20,C0115,P007,148,7.33,1084.84,E-commerce B2B,Ana Souza,MG
PV003322,2024-01-20,C0079,P008,17,9.91,168.47,Representante Comercial,Felipe Santos,RJ
PV001556,2024-01-20,C0062,P017,10,3.35,33.5,Televendas,Bruno Lima,AL
PV003383,2024-01-20,C0002,P001,164,21.74,3565.36,E-commerce B2B,Ana Souza,RS
PV001617,2024-01-20,C0088,P006,109,4.49,489.41,Key Account,Carlos Silva,MG
PV000111,2024-01-20,C0011,P014,70,3.69,258.3,Televendas,Carlos Silva,MG
PV001136,2024-01-20,C0059,P014,174,3.6,626.4,Key Account,Ana Souza,SP
PV001154,2024-01-20,C0143,P005,137,4.3,589.1,E-commerce B2B,Eduarda Melo,AL
PV002711,2024-01-20,C0094,P010,168,5.21,875.28,Representante Comercial,Bruno Lima,RS
PV004447,2024-01-20,C0160,P011,92,16.98,1562.16,Representante Comercial,Daniela Rocha,ES
PV004915,2024-01-20,C0149,P014,161,3.98,640.78,Key Account,Felipe Santos,ES
PV001756,2024-01-20,C0082,P013,98,5.02,491.96,E-commerce B2B,Felipe Santos,AM
PV005720,2024-01-20,C0022,P016,80,6.9,552.0,E-commerce B2B,Carlos Silva,AL
PV004387,2024-01-20,C0165,P013,34,4.77,162.18,Representante Comercial,Eduarda Melo,DF
PV002753,2024-01-21,C0128,P003,30,8.33,249.9,Key Account,Felipe Santos,PR
PV001834,2024-01-21,C0142,P016,177,6.8,1203.6,E-commerce B2B,Daniela Rocha,PA
PV003896,2024-01-21,C0008,P002,81,8.42,682.02,Representante Comercial,Eduarda Melo,PE
PV005614,2024-01-21,C0028,P014,5,3.72,18.6,Key Account,Daniela Rocha,BA
PV000629,2024-01-22,C0067,P014,81,3.64,294.84,Televendas,Daniela Rocha,AM
PV005360,2024-01-22,C0088,P016,49,6.55,320.95,E-commerce B2B,Eduarda Melo,MG
PV001520,2024-01-22,C0003,P014,147,3.82,561.54,Key Account,Ana Souza,ES
PV004331,2024-01-22,C0057,P011,62,17.03,1055.86,E-commerce B2B,Ana Souza,GO
PV001833,2024-01-22,C0064,P009,131,5.05,661.55,E-commerce B2B,Daniela Rocha,ES
PV002275,2024-01-22,C0032,P009,67,4.8,321.6,E-commerce B2B,Carlos Silva,MT
PV004351,2024-01-22,C0127,P006,75,4.26,319.5,E-commerce B2B,Carlos Silva,PR
PV005981,2024-01-22,C0002,P006,16,4.64,74.24,Televendas,Eduarda Melo,RS
PV003181,2024-01-23,C0029,P016,107,6.58,704.06,E-commerce B2B,Bruno Lima,PE
PV006924,2024-01-23,C0085,P010,117,5.32,622.44,Televendas,Felipe Santos,AM
PV000486,2024-01-23,C0106,P010,114,4.94,563.16,Televendas,Carlos Silva,PA
PV004034,2024-01-23,C0036,P013,69,4.85,334.65,Televendas,Eduarda Melo,AM
PV002765,2024-01-23,C0148,P017,171,3.1,530.1,Key Account,Ana Souza,MT
PV003496,2024-01-23,C0155,P014,11,4.02,44.22,E-commerce B2B,Bruno Lima,ES
PV003700,2024-01-23,C0175,P015,98,5.65,553.7,Representante Comercial,Ana Souza,GO
PV006277,2024-01-23,C0168,P009,169,4.77,806.13,Televendas,Daniela Rocha,PA
PV001382,2024-01-24,C0012,P020,172,4.03,693.16,E-commerce B2B,Carlos Silva,RJ
PV003459,2024-01-24,C0130,P005,34,4.16,141.44,Key Account,Felipe Santos,PA
PV003670,2024-01-24,C0072,P010,102,4.96,505.92,E-commerce B2B,Carlos Silva,BA
PV005133,2024-01-24,C0031,P010,26,5.5,143.0,Key Account,Daniela Rocha,BA
PV000258,2024-01-24,C0101,P009,62,4.57,283.34,Representante Comercial,Daniela Rocha,AM
PV001463,2024-01-24,C0144,P011,104,15.91,1654.64,Representante Comercial,Bruno Lima,PR
PV006318,2024-01-24,C0120,P005,151,4.13,623.63,E-commerce B2B,Daniela Rocha,MT
PV006003,2024-01-24,C0173,P014,34,3.66,124.44,Key Account,Ana Souza,BA
PV005798,2024-01-24,C0076,P014,62,3.73,231.26,E-commerce B2B,Eduarda Melo,SC
PV004997,2024-01-24,C0039,P005,146,4.13,602.98,Key Account,Bruno Lima,PA
PV006420,2024-01-24,C0033,P016,158,6.5,1027.0,E-commerce B2B,Felipe Santos,CE
PV003722,2024-01-24,C0046,P014,10,3.91,39.1,Representante Comercial,Carlos Silva,AM
PV004709,2024-01-24,C0053,P010,138,5.07,699.66,Televendas,Eduarda Melo,PR
PV003725,2024-01-24,C0057,P003,159,7.74,1230.66,Televendas,Bruno Lima,GO
PV002522,2024-01-24,C0148,P004,121,8.32,1006.72,E-commerce B2B,Bruno Lima,MT
PV006800,2024-01-24,C0124,P006,58,4.14,240.12,E-commerce B2B,Eduarda Melo,DF
PV004730,2024-01-25,C0022,P018,179,2.84,508.36,Representante Comercial,Eduarda Melo,AL
PV006892,2024-01-25,C0179,P013,61,4.98,303.78,Key Account,Daniela Rocha,GO
PV004160,2024-01-25,C0175,P019,175,3.9,682.5,Televendas,Ana Souza,GO
PV006539,2024-01-25,C0128,P019,35,3.7,129.5,E-commerce B2B,Daniela Rocha,PR
PV001372,2024-01-25,C0066,P018,174,2.87,499.38,Key Account,Carlos Silva,DF
PV002521,2024-01-25,C0011,P017,79,3.35,264.65,Key Account,Eduarda Melo,MG
PV002689,2024-01-25,C0038,P003,107,7.52,804.64,E-commerce B2B,Bruno Lima,MT
PV006933,2024-01-25,C0017,P002,134,8.36,1120.24,Televendas,Carlos Silva,RS
PV004179,2024-01-25,C0057,P020,125,3.95,493.75,E-commerce B2B,Daniela Rocha,GO
PV000390,2024-01-25,C0039,P015,98,5.32,521.36,E-commerce B2B,Felipe Santos,PA
PV004614,2024-01-26,C0028,P009,52,4.58,238.16,E-commerce B2B,Carlos Silva,BA
PV001832,2024-01-26,C0122,P020,98,4.08,399.84,Televendas,Bruno Lima,BA
PV003885,2024-01-26,C0057,P005,122,4.18,509.96,E-commerce B2B,Felipe Santos,GO
PV001941,2024-01-26,C0043,P011,94,16.33,1535.02,Key Account,Daniela Rocha,SC
PV006263,2024-01-26,C0122,P003,9,7.66,68.94,E-commerce B2B,Bruno Lima,BA
PV006314,2024-01-26,C0119,P019,41,4.05,166.05,Representante Comercial,Eduarda Melo,RS
PV006435,2024-01-26,C0022,P016,7,6.5,45.5,Televendas,Ana Souza,AL
PV003286,2024-01-26,C0002,P017,176,3.3,580.8,E-commerce B2B,Eduarda Melo,RS
PV000103,2024-01-26,C0109,P017,64,3.16,202.24,E-commerce B2B,Bruno Lima,MT
PV003940,2024-01-26,C0101,P005,78,4.21,328.38,E-commerce B2B,Felipe Santos,AM
PV001585,2024-01-26,C0134,P014,50,3.94,197.0,E-commerce B2B,Ana Souza,MG
PV005495,2024-01-26,C0115,P017,42,3.36,141.12,Televendas,Bruno Lima,MG
PV002699,2024-01-26,C0099,P019,104,3.9,405.6,Representante Comercial,Carlos Silva,SC
PV007106,2024-01-26,C0081,P006,106,4.58,485.48,Key Account,Eduarda Melo,SC
PV001448,2024-01-26,C0039,P006,135,4.22,569.7,Representante Comercial,Bruno Lima,PA
PV002184,2024-01-26,C0025,P003,26,8.13,211.38,Representante Comercial,Carlos Silva,ES
PV001100,2024-01-27,C0075,P014,29,3.84,111.36,E-commerce B2B,Felipe Santos,MT
PV004142,2024-01-27,C0169,P016,56,7.05,394.8,E-commerce B2B,Bruno Lima,AL
PV003707,2024-01-27,C0143,P010,97,5.27,511.19,E-commerce B2B,Bruno Lima,AL
PV003440,2024-01-27,C0114,P017,108,3.27,353.16,Representante Comercial,Bruno Lima,BA
PV005457,2024-01-27,C0137,P013,127,4.65,590.55,E-commerce B2B,Ana Souza,MT
PV006612,2024-01-27,C0034,P014,8,3.82,30.56,Representante Comercial,Felipe Santos,RJ
PV000836,2024-01-28,C0054,P003,91,7.96,724.36,Representante Comercial,Ana Souza,DF
PV001871,2024-01-28,C0037,P019,72,3.84,276.48,E-commerce B2B,Ana Souza,AM
PV001745,2024-01-28,C0164,P016,25,7.13,178.25,Televendas,Felipe Santos,ES
PV004494,2024-01-28,C0019,P020,34,4.25,144.5,E-commerce B2B,Daniela Rocha,BA
PV004437,2024-01-28,C0099,P012,107,14.3,1530.1,Televendas,Ana Souza,SC
PV004520,2024-01-28,C0089,P012,97,13.95,1353.15,Televendas,Daniela Rocha,PR
PV004480,2024-01-29,C0093,P014,78,3.72,290.16,Key Account,Carlos Silva,SP
PV006149,2024-01-29,C0104,P015,15,5.91,88.65,Televendas,Bruno Lima,PR
PV002038,2024-01-29,C0101,P014,75,3.8,285.0,Televendas,Ana Souza,AM
PV002601,2024-01-29,C0135,P013,158,4.67,737.86,Televendas,Eduarda Melo,BA
PV001242,2024-01-29,C0160,P019,66,3.77,248.82,Representante Comercial,Ana Souza,ES
PV003156,2024-01-29,C0062,P010,72,5.39,388.08,Televendas,Felipe Santos,AL
PV002924,2024-01-29,C0101,P017,115,3.17,364.55,Televendas,Ana Souza,AM
PV000092,2024-01-29,C0003,P016,63,7.08,446.04,Representante Comercial,Eduarda Melo,ES
PV003175,2024-01-29,C0074,P017,11,3.26,35.86,Televendas,Felipe Santos,AM
PV003504,2024-01-30,C0043,P014,94,3.86,362.84,Key Account,Carlos Silva,SC
PV004586,2024-01-30,C0133,P005,116,4.42,512.72,Representante Comercial,Carlos Silva,PA
